"","","","","1 ","",
"","","","","Comfort Food: Baked Battered Cod Mindful: Turkey Sloppy Joe Sides: Roasted Brocolini, Roasted Wedge Potatoes Soup: Tomato Basil, Chicken Tortilla ","",
"Activity Period 4 ","5 ","6 ","7 ","8 ","",
"Comfort Food: Cheese Tortellini Mindful: Lemon Garlic Baked Chicken Sides: Roasted Carrots, Roasted Red Potatoes Soup: Veggie Chili, Chicken Noodle ","Comfort Food: Chicken Tikka Masala Mindful: Blackened Tilapia Sides: Roasted Cauliflower, Rice Soup: Veggie Chili, Chicken Noodle ","Comfort Food: Baked Chicken Parmesean w/ Pasta Mindful: Turkey Breast Vesuvio Sides: Roasted Zuccini, Mashed Potatoes Soup: Veggie Chili, Chicken Noodle ","Comfort Food: Roasted Italian Chicken Thigh Mindful: Maple Chili Glazed Pork Loin Sides: Brocolini, Cous Cous Primavera Soup: Veggie Chili, Chicken Noodle ","Comfort Food: Baked Mostaccioli Mindful:Chicken Tinga Sides: Azteca Corn, Mexican Rice Soup: Veggie Chili, Chicken Noodle ","",
"11 ","12 ","13 ","14 ","15 ","",
"No School ","Comfort Food: Baked Cheese Enchiladas Mindful: Thai Chicken Stir Fry Sides: Roasted Carrots, Cilantro Lime Rice Soup: Tomato Basil, Broccoli Cheddar ","Comfort Food: Chipotle & Orange Grilled Chicken Mindful: Tortilla Crusted Tilapia Sides: Sugar Snap Peas, Orzo Soup: Tomato Basil, Broccoli Cheddar ","Comfort Food: Spinach Ravioli with Pesto Cream Sauce Mindful: Baked Turkey Meatloaf w/ Turkey Gravy Sides: Satueed Brocolini, Roasted Sweet Potatoes Soup: Tomato Basil, Broccoli Cheddar ","Comfort Food: Chopped Steak with Onions Mindful: Chicken w/Country Gravy Sides: Roasted Vegetables, Mashed Potatoes Soup: Tomato Basil, Broccoli Cheddar ","",
"18 ","19 ","20 ","Late Arrival 21 ","22 ","",
"Comfort Food: Open faced Pot Roast Sandwich Mindful: Chicken Breast with Bruchetta Sides: Snow Peas, Roasted Red Potatoes Soup: Veggie Chili, Corn Chowder ","Comfort Food:Baked Beef Ravioli /Breadstick Mindful: Biryani Chicken Sides: Lemon Pepper Green Beans, Yellow Rice Soup: Veggie Chili, Corn Chowder ","Comfort Food: Dijon Chicken Mindful: Baked Herbed Cod Sides: Asparagus, Scalloped Potatoes Soup: Veggie Chili, Corn Chowder ","Comfort Food: Spicy Whole Wheat Spaghetti Mindful: Tempura Chicken Stir Fry w/ Rice Sides: Roasted Cauliflower, Spring Roll Soup: Veggie Chili, Corn Chowder ","Comfort Food: 3 cheese Penne Mindful: Chicken Marsala Sides: Roasted Vegetables, Scalloped Potatoes Soup: Veggie Chili, Corn Chowder ","",
"Activity Period 25 ","26 ","27 ","28 ","29 ","",
"Comfort Food: BBQ Pulled Chicken Sandwich Mindful: Teriyaki Glazed Salmon Sides: Corn Roasted Potatoes Soup: Tomato Basil, Chicken Tortilla ","Comfort Food: Home Made Beef Meatloaf Mindful: Chicken Picata Sides: Roasted Carrots and Broccoli, Mashed Potatoes Soup: Tomato Basil, Chicken Tortilla ","Comfort Food: Home Made Chicken Pot Pie Mindful:Veggie Lo Mein Sides: Roasted Vegetables, Egg roll Soup: Tomato Basil, Chicken Tortilla ","Comfort Food: Beef and Mushroom Stroganoff w/ pasta Mindful: Tofu Stir Fry Sides: Lemon Pepper Green Beans, Rice Soup: Tomato Basil, Chicken Tortilla ","Comfort Food: Baked Battered Cod Mindful: Turkey Sloppy Joe Sides: Roasted Brocolini, Roasted Wedge Potatoes Soup: Tomato Basil, Chicken Tortilla ","",
